,Type of Program,Type of Residency,PGY1 Subtype,PGY2 Specialty,Area of Emphasis,Primary Setting,Teaching and Learning Curriculum,Description of opportunity,Residency Accreditation,ACCP Peer Reviewed Research Fellowship,Preceptor,Institution,Length (Yrs),Start Date,Stipend,Number of These Positions,Number of OTHER postgraduate positions at program location,Region,On-call hours per month,Staffing hours per month,Program Website,Training Program Video,Training Program Twitter Handle,Contact,Conact,Web ID,Last Modified
0,Fellowship,,,,,College or University,,"The one-year Academic Pharmacy Fellowship is designed to train future faculty members to become national leaders in addressing the global deficit in health professions education and training in digital health.  Fellows will be able to develop pharmacy education to include the development of digital health skills at their respective academic institutions. Additionally, the fellow will be able to create digital health awareness and training to be included in residency programs and teaching certificate programs, to ensure digital literacy of our future pharmacy practitioners and educators. As evidenced by the rapid move to the virtual delivery of healthcare services precipitated by the COVID-19 pandemic, it is expected demand for clinical faculty members with this specialized skill set will continue to grow.",,,Dr. William Gong,University of Southern California,1,"July 01, 2023","$63,750.00",1,,Pacific,,,,,,"Dr. William GongUniversity of Southern California1985 Zonal AvenueLos Angeles, CA 90089(323) 442-2625 (Phone)wgong@usc.edu","Dr. William GongUniversity of Southern California1985 Zonal AvenueLos Angeles, CA 90089(323) 442-2625 (Phone)wgong@usc.edu",W-9550,"September 13, 2022"
1,Fellowship,,,,,College or University,,"Roosevelt University College of Science, Health, and Pharmacy is seeking applications for an Academic Fellow. This individual will be appointed to a 2-year full-time, year-round non-tenure-track position as Clinical Instructor. This position is designed to provide training and experience to prepare the individual for a full clinical faculty appointment. The Academic Fellow is assigned teaching, scholarship, and service consistent with a clinical faculty role. The clinical responsibilities of the fellow are consistent with experiences provided in a PGY1 residency and teaching responsibilities include clinical precepting and didactic course assignments. This faculty position reports to the Academic Fellowship Director.",,,"Dan Majerczyk, Pharm.D. or Nicole Alvey, Pharm.D.","Roosevelt University College of Science, Health, and Pharmacy",2,"August 15, 2022","$50,000.00",1,,Midwest,,,https://jobs.roosevelt.edu/postings/6023,,,"Dan Majerczyk, Pharm.D. or Nicole Alvey, Pharm.D.Roosevelt University College of Science, Health, and Pharmacy1400 N. Roosevelt BlvdSchaumburg, IL 601738473304526 (Phone)dmajerczyk@roosevelt.edu or nalvey@roosevelt.edu","Dan Majerczyk, Pharm.D. or Nicole Alvey, Pharm.D.Roosevelt University College of Science, Health, and Pharmacy1400 N. Roosevelt BlvdSchaumburg, IL 601738473304526 (Phone)dmajerczyk@roosevelt.edu or nalvey@roosevelt.edu",W-8059,"August 31, 2021"
2,Fellowship,,,,,College or University,,"This 12-month academic fellowship at Sullivan University College of Pharmacy and Health Sciences (SU COPHS) will provide a multitude of learning opportunities to prepare the fellow for a career in academic pharmacy.  The fellowship will include experiences in the areas of teaching, scholarship, and service to cultivate growth in these areas.  A focus on the pedagogy of higher education will allow the fellow to learn effective teaching methods to develop health profession students into dynamic and thoughtful leaders.",,,Kim Elder,Sullivan University College of Pharmacy and Health Sciences,1,"July 01, 2023","$48,000.00",1,2,Southeast,,,https://www.sullivan.edu/college-of-pharmacy-and-health-sciences/residency,,,"Kim ElderSullivan University College of Pharmacy and Health Sciences2100 Gardiner LaneLouisville, KY 40205502-413-8967 (Phone)kelder@sullivan.edu","Kim ElderSullivan University College of Pharmacy and Health Sciences2100 Gardiner LaneLouisville, KY 40205502-413-8967 (Phone)kelder@sullivan.edu",W-7867,"August 03, 2022"
3,Fellowship,,,,,College or University,,"The Fellowship in Clinical Pharmacy Education at Xavier University of Louisiana College of Pharmacy is a postgraduate training program offered to pharmacy professionals with a strong interest in pursuing a career in Clinical Academic Pharmacy. The fellow will have the opportunity to train in a culturally diverse environment with practical experience in teaching, scholarship, service, and clinical practice. The fellow will have learning experiences in: 
•	Didactic and Experiential Teaching 
•	Scholarship 
•	Service to the University, Profession, and Community
•	Clinical Practice 
•	Experiential Education
•	Student Affairs
•	Curriculum and Assessment
•	Other Elective Opportunities",,,Dana Jamero,Xavier University of Louisiana,1,"August 01, 2023",$0.00,1,,Southeast,,,,,,"Dana JameroXavier University of Louisiana1 Drexel DriveNew Orleans, LA 701255045205337 (Phone)djamero@xula.edu","Dana JameroXavier University of Louisiana1 Drexel DriveNew Orleans, LA 701255045205337 (Phone)djamero@xula.edu",W-8198,"July 15, 2022"
4,Fellowship,,,,,College or University,,"The Center for Innovative Pharmacy Education and Research (CIPhER) focuses on improving pharmacy education by helping faculty and others to more effectively: teach, assess and promote student learning; produce peer-reviewed publications and compete for grants. CIPhER sponsors certificate offerings, contributes to continuing education, and offers training workshops and seminars. The CIPhER postdoctoral fellowship provides exposure and mentored experience across the full range of educational research activities, including study design, data collection, data analysis, manuscript preparation, and grant writing. The program will be tailored to each Fellow’s unique skills and experiences, and s/he will gain broad experience in educational research and assessment supporting the core mission of CIPhER. ",,,Susan Charamut,University of North Carolina,1,"July 03, 2023",$0.00,1,,Southeast,,,https://pharmacy.unc.edu/research/centers/cipher/,,@UNC_CIPhER,"Susan CharamutUniversity of North Carolina301 Pharmacy LnChapel Hill, NC 27599919-962-5382 (Phone)lynn_craven@unc.edu","Susan CharamutUniversity of North Carolina301 Pharmacy LnChapel Hill, NC 27599919-962-5382 (Phone)lynn_craven@unc.edu",W-7886,"July 21, 2022"
5,Fellowship,,,,,College or University,,"The UNC Eshelman School of Pharmacy offers three academic research fellowships with training in HIV/Infectious Disease, Oncology, and Heart Failure/Cardiovascular Disease. The intent of these fellowships is to prepare independent researchers for careers in academia. Fellows will gain experience in all areas of research, ranging from grant writing to manuscript submission, including the presentation of research findings at scientific meetings. Fellows will become proficient in the conduct of translational research. Coursework in clinical trial design, biostatistics, and PK/PD/PM are provided, along with the opportunity for teaching and clinical service. Prior residency experience is required for select programs.
For more information: http://pharmacy.unc.edu/programs/fellowships",,,"Jo Ellen Rodgers, Pharm.D., FCCP, BCPS",University of North Carolina at Chapel Hill,2,"July 01, 2023","$54,000.00",6,,Southeast,,,http://pharmacy.unc.edu/programs/fellowships,https://go.unc.edu/esopDPET,,"Jo Ellen Rodgers, Pharm.D., FCCP, BCPSUniversity of North Carolina at Chapel Hill3215 Kerr Hall CB#7569Chapel Hill, NC 27599919-962-2249 (Phone)jerodgers@unc.edu","Jo Ellen Rodgers, Pharm.D., FCCP, BCPSUniversity of North Carolina at Chapel Hill3215 Kerr Hall CB#7569Chapel Hill, NC 27599919-962-2249 (Phone)jerodgers@unc.edu",W-6295,"August 16, 2022"
6,Fellowship,,,,,Academic Health System,,"Public Health Pharmacy Fellowship: PharmD graduates are being sought for a 2-year fellowship providing the opportunity to engage in pharmacy focused public health training and hands-on work alongside faculty and local health department. The fellow will participate in advocacy at state and federal levels and will work at multiple sites engaging in clinical activities, education, and scholarship. Original research will include designing, implementing, analyzing and presenting findings. The fellow will also engage in public health community activities such as vaccine clinics, health fairs, and educational events. Academic responsibilities include providing lectures and continuing educational presentations to students and community in areas of public health and pharmacy. Full details can be found here: https://jobs.sjfc.edu/postings/2553",,,Kelly Conn,St. John Fisher College,2,"July 01, 2022","$50,000.00",1,3,Northeast,,,https://jobs.sjfc.edu/postings/2553,,,"Kelly ConnSt. John Fisher CollegeWegmans School of Pharmacy3690 East AvenueROCHESTER, NY 146185853818159 (Phone)kconn@sjfc.edu","Kelly ConnSt. John Fisher CollegeWegmans School of Pharmacy3690 East AvenueROCHESTER, NY 146185853818159 (Phone)kconn@sjfc.edu",W-8173,"April 06, 2022"
7,Fellowship,,,,,College or University,,"The University at Buffalo School of Pharmacy and Pharmaceutical Sciences Pharmacy Academic and Leadership Fellowship program is a 2-year fellowship designed to mentor postgraduates for a career as a non-tenure track faculty member. The fellowship aims to train aspiring academicians while broadening and diversifying pharmacy faculty across the academy, and encourages applications from those who identify with historically underrepresented groups.The Fellow will work with nationally and internationally renowned faculty to develop their skills in each area of academia (teaching, research, service, and practice), equipping them to succeed as a non-tenure track faculty member. Additional information is available at: https://pharmacy.buffalo.edu/academics/fellowships/pharmacy-academic-and-leadership-post-doctoral-fellowship.html",,,William Allan Prescott Jr.,University at Buffalo School of Pharmacy and Pharmaceutical Sciences,2,"July 01, 2023","$50,000.00",4,3,Northeast,,,https://pharmacy.buffalo.edu/academics/fellowships/pharmacy-academic-and-leadership-post-doctoral-fellowship.html,,,"William Allan Prescott Jr.University at Buffalo School of Pharmacy and Pharmaceutical Sciences222 Pharmacy BuildingBuffalo, NY 14260716-645-4780 (Phone)prescott@buffalo.edu","William Allan Prescott Jr.University at Buffalo School of Pharmacy and Pharmaceutical Sciences222 Pharmacy BuildingBuffalo, NY 14260716-645-4780 (Phone)prescott@buffalo.edu",W-9464,"August 22, 2022"
8,Fellowship,,,,,College or University,,"The Academic Pharmacy Fellowship position at Touro College of Pharmacy in New York is a 12-month program designed to prepare the pharmacy professional who is interested in a career in academic pharmacy and is seeking an experience in pharmacy education. The academic fellow will work with administrators and faculty to gain experience in teaching in a variety of classroom settings, precepting APPE students, and participating in scholarships. The program also includes opportunities to help design curricula and assess students. In the process, the fellow will obtain a teaching certificate. Individuals who have completed a Doctor of Pharmacy degree from an ACPE-accredited College of Pharmacy licensure or eligible for licensure in the State of New York. and are interested in pursuing a career in academia are encouraged to apply. ",,,Elizabeth Unni,Touro College of Pharmacy - NY,1,"July 01, 2023","$55,000.00",1,2,Northeast,,,https://tcop.touro.edu/post-doctoral-programs/academic-fellowship/,,,"Elizabeth UnniTouro College of Pharmacy - NY230 West 125th StreetNYNew York, NY 100276469814724 (Phone)elizabeth.unni@touro.edu","Elizabeth UnniTouro College of Pharmacy - NY230 West 125th StreetNYNew York, NY 100276469814724 (Phone)elizabeth.unni@touro.edu",W-9520,"August 31, 2022"
9,Fellowship,,,,,Community Pharmacy,,The University of Pittsburgh School of Pharmacy offers a 2-year research fellowship program in community pharmacy practice development. The goal of this fellowship is to provide graduates with a solid foundation in scholarship pertaining to community pharmacy practice. An emphasis is placed on developing future leaders in practice innovation and evaluation; graduates will have the necessary skills to lead a practice-based research program. The fellowship program is designed to build upon the school’s community- based initiatives while actively contributing to the research agenda for community-based scholarship. PGY1 community-based pharmacy residency experience is preferred but not required. ,,,Melissa McGivney,University of Pittsburgh School of Pharmacy,2,"July 03, 2023",,2,3,Northeast,,,https://www.clip.pharmacy.pitt.edu/fellowship-programs/,,@PittCLIPCenter,"Melissa McGivneyUniversity of Pittsburgh School of Pharmacy3501 Terrace StreetPittsburgh, PA 15261(412) 624-8142 (Phone)mmcgivney@pitt.edu","Melissa McGivneyUniversity of Pittsburgh School of Pharmacy3501 Terrace StreetPittsburgh, PA 15261(412) 624-8142 (Phone)mmcgivney@pitt.edu",W-7973,"August 26, 2022"
10,Fellowship,,,,,College or University,,"The Fellowship in Academic Pharmacy is a 12-month postgraduate training experience coordinated by the University of Houston College of Pharmacy. The purpose of the program is to prepare pharmacists for a career in pharmacy education through training in teaching, curriculum development, college service, mentoring, scholarship, and clinical practice. The fellow will be exposed to a wide variety of teaching responsibilities such as lecturing, small group based learning, coordination, and assessment. In addition to extensive teaching, the fellow will also participate in direct patient care rotations based on their interest. The year will consist of a time split of 60-70% teaching and academic related duties and 30-40% clinical practice. At the end of the training program, the academic fellow will be well prepared for a career in academia.",,,"Matthew Wanat, PharmD, BCPS, BCCCP, FCCM",University of Houston College of Pharmacy,1,"August 01, 2022","$45,000.00",2,,Southeast,,,https://www.uh.edu/pharmacy/prospective-students/residency-and-fellowship/academic-pharmacy-fellowship/,,,"Matthew Wanat, PharmD, BCPS, BCCCP, FCCMUniversity of Houston College of Pharmacy4349 Martin Luther King BlvdHouston, TX 77204832-842-8367 (Phone)MAWanat@uh.edu","Matthew Wanat, PharmD, BCPS, BCCCP, FCCMUniversity of Houston College of Pharmacy4349 Martin Luther King BlvdHouston, TX 77204832-842-8367 (Phone)MAWanat@uh.edu",W-7094,"July 18, 2022"
11,Fellowship,,,,,College or University,,"The Academic Fellowship is a mentored, post-graduate training program that prepares fellows for a career in pharmacy education delivery and the scholarship of teaching and learning (SoTL). This is a one-year fellowship experience located on the WSU Health Sciences campus in Spokane, WA. There may be an option to renew for a second year of fellowship based on interest, performance, and available funding. Each fellow will be assigned a primary mentor and will select their mentoring team. Working with the team, fellows will establish an individualized plan that aligns with their career, teaching, and research goals. At the completion of this fellowship, the participant will be well-positioned to assume a clinical-track faculty member's role in a Doctor of Pharmacy program. ",,,Abby Parsons,WSU College of Pharmacy and Pharmaceutical Sciences,1,"July 01, 2022",$0.00,1,,Pacific,,,https://pharmacy.wsu.edu/residency-fellowship-programs/academic-fellows-program/,https://pharmacy.wsu.edu/residency-fellowship-programs/,,"Abby ParsonsWSU College of Pharmacy and Pharmaceutical Sciences412 E Spokane Falls BlvdSpokane, WA 992025093686677 (Phone)abby.parsons@wsu.edu","Abby ParsonsWSU College of Pharmacy and Pharmaceutical Sciences412 E Spokane Falls BlvdSpokane, WA 992025093686677 (Phone)abby.parsons@wsu.edu",W-8170,"January 31, 2022"
12,Fellowship,,,,,College or University,,"The fellowship trains experts in primary care pharmacotherapy. This is accomplished through an affiliation with the UF Family Medicine Residency Program allowing the fellow to: participate in physician and patient education; provide therapeutic consults to resident and attending physicians; and serve as a clerkship preceptor to pharmacy students. Additional activities include: a progressive pharmacotherapy monitoring service including a longitudinal anticoagulation and high-risk diabetes clinic, and opportunities to deliver didactic lectures. Research skills acquired through investigator involvement in studies with  emphasis on outcome-based primary care research. For more information about the fellowship and the application process, please see the fellowship webpage at http://chfm.ufl.edu/programs/uf-family-medicine-pharmacy-fellowship/",,,"John G. Gums, Pharm.D.,FCCP",University of Florida,2,"July 01, 2023","$49,500.00",1,,Southeast,,,http://chfm.ufl.edu/programs/uf-family-medicine-pharmacy-fellowship/,,,"John G. Gums, Pharm.D.,FCCPUniversity of FloridaCollege of Pharmacy1225 Center DriveGainesville, FL 32601(352) 273-8318 (Phone)jgums@ufl.edu","John G. Gums, Pharm.D.,FCCPUniversity of FloridaCollege of Pharmacy1225 Center DriveGainesville, FL 32601(352) 273-8318 (Phone)jgums@ufl.edu",W-4010,"July 15, 2022"
13,Fellowship,,,,,College or University,,"Racial Equity to Advance Community Health (REACH) Clinical Pharmacy Fellowship in Primary Care. The University of Michigan College of Pharmacy REACH fellowship is a paid and competitive opportunity for individuals having completed a PGY1 residency or comparable ambulatory care experience. The evolving field of Pharmacy is poised to make a substantial contribution to improving racial health equity, by expanding pharmacists’ skill sets in working with diverse populations. The College of Pharmacy is committed to be part of the solution, and is working to address racial health equity, through research, education, clinical practice, and societal engagement. See this link for more information: https://pharmacy.umich.edu/cp/reachfellowship ",,,Beatriz Manzor Mitrzyk,University of Michigan College of Pharmacy,2,"July 01, 2023",$0.00,1,10,Midwest,,,https://pharmacy.umich.edu/cp/reachfellowship,,,"Beatriz Manzor MitrzykUniversity of Michigan College of Pharmacy428 Church StAnn Arbor, MI 481097346155278 (Phone)bmitrzyk@umich.edu","Beatriz Manzor MitrzykUniversity of Michigan College of Pharmacy428 Church StAnn Arbor, MI 481097346155278 (Phone)bmitrzyk@umich.edu",W-9481,"August 27, 2022"
14,Fellowship,,,,,College or University,,"The Community-based Psychiatry Fellowship is a partnership between the UNC Eshelman School of Pharmacy, UNC Counseling and Psychological Services and UNC Campus Health.

Areas of competence emphasized during the program include safe and effective patient care services, quality improvement, and advanced leadership. The fellow will be responsible for expansion of pharmacist-provided services within a clinic model. This fellowship program lays the foundation for continued growth in management and leadership skills with the expectation that, the trainee will assume leadership of patient care services in community-based or ambulatory care practice.",,,"Macary Weck Marciniak, PharmD, BCACP, BCPS, FAPhA",University of North Carolina at Chapel Hill,1,"July 03, 2023",,1,,Southeast,,,https://pharmacy.unc.edu/education/fellowships/community-based-psychiatry/,,,"Macary Weck Marciniak, PharmD, BCACP, BCPS, FAPhAUniversity of North Carolina at Chapel HillUNC Eshelman School of Pharmacy115 Beard Hall, Campus Box 7574Chapel Hill, NC 27599-7574(919) 843-9929 (Phone)macary_marciniak@unc.edu","Macary Weck Marciniak, PharmD, BCACP, BCPS, FAPhAUniversity of North Carolina at Chapel HillUNC Eshelman School of Pharmacy115 Beard Hall, Campus Box 7574Chapel Hill, NC 27599-7574(919) 843-9929 (Phone)macary_marciniak@unc.edu",W-7837,"September 01, 2022"
15,Fellowship,,,,,Community Hospital,,"Fellow will develop and implement an interdisciplinary telehealth clinical program. Candidates should have experience in collaborative drug therapy management (CDTM) clinics and be both board-eligible (BCACP) and eligible for NYS CDTM credentialing. The successful candidate will work with a Nurse Practitioner, Physician, Social Worker, and other CDTM Pharmacists to build upon a telehealth framework at The Brooklyn Hospital Center, while also developing a curricular model and experiential training experience for students in the associated health professions. Strong interpersonal skills, computer literacy, and a passion for ambulatory care pharmacy are crucial. The fellow will also be incorporated into the pharmacy residency training programs at The Brooklyn Hospital Center as a faculty member.",,,"Robert DiGregorio, PharmD, FNAP - Senior Director of Pharmacy",The Brooklyn Hospital Center,1,"September 01, 2021","$130,000.00",1,12,Northeast,12,,http://www.brooklynpharmacyresidency.com,,,"Robert DiGregorio, PharmD, FNAP - Senior Director of PharmacyThe Brooklyn Hospital Center121 DeKalb AvenueBrooklyn, NY 112017182508182 (Phone)rdigregorio@tbh.org","Robert DiGregorio, PharmD, FNAP - Senior Director of PharmacyThe Brooklyn Hospital Center121 DeKalb AvenueBrooklyn, NY 112017182508182 (Phone)rdigregorio@tbh.org",W-7915,"July 28, 2021"
16,Fellowship,,,,,College or University,,"The fellowship is a 1-year, full-time position focusing on population health, with a second-year option to qualified candidates who meet the requirements of the sponsoring entities, Mercy Health, and UF’s College of Pharmacy. The Fellow will operate primarily from the University of Findlay Telehealth Center, providing population health services, with occasional required travel to Mercy Health (MH) sites within Ohio. The majority of the Fellow's time will be spent working directly with the Mercy Health population health specialists on projects specific to the institution's needs, with the remainder of the time spent with University of Findlay College of Pharmacy (UFCPHM) faculty to gain an understanding of the context for population health and an expertise in developing implementing and analyzing population health strategies. ",,,Sothea Phon-Xue,The University of Findlay,1,"July 01, 2022",,1,1,Midwest,,,https://telehealthcenter.findlay.edu/,,,"Sothea Phon-XueThe University of Findlay1319 N. Main St.Findlay, OH 45840419-434-5360 (Phone)phons@findlay.edu","Sothea Phon-XueThe University of Findlay1319 N. Main St.Findlay, OH 45840419-434-5360 (Phone)phons@findlay.edu",W-8107,"October 14, 2021"
