,Type of Program,Type of Residency,PGY1 Subtype,PGY2 Specialty,Area of Emphasis,Primary Setting,Teaching and Learning Curriculum,Description of opportunity,Residency Accreditation,ACCP Peer Reviewed Research Fellowship,Preceptor,Institution,Length (Yrs),Start Date,Stipend,Number of These Positions,Number of OTHER postgraduate positions at program location,Region,On-call hours per month,Staffing hours per month,Program Website,Training Program Video,Training Program Twitter Handle,Contact,Conact,Web ID,Last Modified
0,Residency,PGY1,Pharmacy,,,Community Hospital,,"This residency emphasizes training in the overall delivery of healthcare with goals consistent with standards developed by ASHP. A variety of rotations are offered including: internal medicine, cardiology, medical ICU, surgical ICU, neuroscience ICU, transitions of care, informatics, administration, and independent practice. Other training includes pharmacokinetics,  nutrition support, ACLS, medication use and quality assurance, and interdisciplinary teaching in didactic and experiential settings. A pharmacist completing this program will be a competent generalist who can function in multiple roles within a pharmacy system.",,,"Sarah Blackwell, PharmD, BCPS, BCCCP",Princeton Baptist Medical Center,1,"June 19, 2023","$47,000.00",3,1,Southeast,,20,https://www.princetonbaptistmedicalcenter.com/health-professionals/pharmacy-residency-at-princeton-baptist-medical-center,https://drive.google.com/file/d/1BWDlTqO8IRfPEZA1sSRq0Q6M92X4fom1/view?usp=sharing,,"Sarah Blackwell, PharmD, BCPS, BCCCPPrinceton Baptist Medical CenterDepartment of Pharmacy Services701 Princeton Ave SWBirmingham, AL 35211(205) 783-3223 (Phone)sarah.blackwell@bhsala.com","Sarah Blackwell, PharmD, BCPS, BCCCPPrinceton Baptist Medical CenterDepartment of Pharmacy Services701 Princeton Ave SWBirmingham, AL 35211(205) 783-3223 (Phone)sarah.blackwell@bhsala.com",W-4514,"July 18, 2022"
1,Residency,PGY1,Pharmacy,,,Pediatric Hospital,,"ASHP-accredited PGY-1 residency program prepares residents to pursue careers as pediatric clinical pharmacists. Required rotations include pediatric hospital medicine, intensive care, hem/onc, neonatal intensive care, pulmonary, nephrology, and ID. Longitudinal experiences include pharmacokinetics, amb care, anticoagulation, drug information, pharmacy operations, project/practice management, code/trauma response, ketogenic diet management and teaching and learning certificate program.  Elective opportunities include transplant, toxicology, cardiology, investigational drugs, emergency medicine, med safety, advanced experiences in core rotations, and others tailored to resident areas of interest. BLS/PALS certification provided. Residents qualify for employee benefits and meeting reimbursement for AlSHP, ASHP Midyear, and PPA.",,,"Deidra Schmidt, PharmD, AAHIVP",Children's of Alabama,1,"July 03, 2023","$55,162.00",3,1,Southeast,,22,https://www.childrensal.org/pharmresidency,,,"Deidra Schmidt, PharmD, AAHIVPChildren's of AlabamaDepartment of Pharmacy1600 7th Avenue SouthBirmingham, AL 35233(205)638-9712 (Phone)deidra.schmidt@childrensal.org","Deidra Schmidt, PharmD, AAHIVPChildren's of AlabamaDepartment of Pharmacy1600 7th Avenue SouthBirmingham, AL 35233(205)638-9712 (Phone)deidra.schmidt@childrensal.org",W-4582,"August 28, 2022"
2,Residency,PGY1,Pharmacy,,,Other,,"This PGY1 pharmacy residency is designed to focus on the development of knowledge, attitude, and skills needed to become a competent clinical practitioner. The residents will be directly involved in providing patient focused pharmaceutical care as well as involvement in other pharmacy experiences including management, teaching responsibilities, precepting, and assigned projects. Required rotations are comprised of core subject areas that are considered to be essential for the pharmacy practitioner. A broad range of selective and elective rotations are also available to permit the resident flexibility in attaining individual goals. Residents completing this program will be well-rounded, independent, competent clinical pharmacists prepared to practice in a pharmacist managed ambulatory care clinic or on a multidisciplinary acute care team.",,,"J. Andrew Carr, Pharm.D., BCPS (AQ-ID)",Birmingham VA Health Care System,1,"June 20, 2022","$43,618.00",4,1,Southeast,,16,http://www.birmingham.va.gov/careers/Residency_Program.asp,,,"J. Andrew Carr, Pharm.D., BCPS (AQ-ID)Birmingham VA Health Care System700 South 19th StreetBirmingham, AL 35233205-933-8101 (Phone)james.carr3@va.gov","J. Andrew Carr, Pharm.D., BCPS (AQ-ID)Birmingham VA Health Care System700 South 19th StreetBirmingham, AL 35233205-933-8101 (Phone)james.carr3@va.gov",W-6475,"July 26, 2022"
3,Residency,PGY1,Pharmacy,,,Community Hospital,,"Pharmacists completing this residency program will be capable of providing compassionate and proficient direct patient care in a community hospital practice environment. The resident receives training while practicing with pharmacists providing pharmaceutical care in internal medicine, cardiology, critical care, nutrition support, infectious disease, emergency medicine and administration/institutional practice. Individualized elective rotations also provide additional experience. In addition to participating in various multidisciplinary teams and committees, the resident will participate in educational activities of Pharm.D. students from Auburn University and Samford University as well as pharmacy staff development at Jackson Hospital.
",,,"Nancy Bailey, PharmD, BCPS",Jackson Hospital,1,"June 27, 2022","$48,500.00",3,1,Southeast,,40,https://www.jhpharmacy.com/,,,"Nancy Bailey, PharmD, BCPSJackson Hospital1725 Pine SteetMontgomery, AL 36106334-293-8778 (Phone)nancy.bailey@jackson.org","Nancy Bailey, PharmD, BCPSJackson Hospital1725 Pine SteetMontgomery, AL 36106334-293-8778 (Phone)nancy.bailey@jackson.org",W-7034,"August 26, 2022"
4,Residency,PGY1,Pharmacy,,,Community Hospital,,"he goals of Ascension St. Vincent's PGY1 Pharmacy Residency Program are established to be consistent with the accreditation standards of ASHP. Core learning experiences are focused in adult acute care and include general medicine, critical care, infectious diseases and antimicrobial stewardship, nutrition support, cardiac care, pharmacy leadership and management and electives in ambulatory care and surgical care. Additional experiences occur in drug information and professional communication, hospital clinical pharmacy practice, and research. Completion of a teaching and learning certificate is offered through Samford University. A pharmacist completing this program will be a competent clinical generalist prepared to deliver patient care in a clinical, integrated, or decentralized acute care practice setting.",,,"Logan Sawyer, PharmD, BCPS",Ascension St. Vincent's,1,"June 27, 2022","$47,480.00",2,,Southeast,,24,https://stvpgy1.wordpress.com/,,,"Logan Sawyer, PharmD, BCPSAscension St. Vincent's810 St. Vincent's DriveBirmingham, AL 352052059397094 (Phone)logan.sawyer@ascension.org","Logan Sawyer, PharmD, BCPSAscension St. Vincent's810 St. Vincent's DriveBirmingham, AL 352052059397094 (Phone)logan.sawyer@ascension.org",W-7880,"July 22, 2021"
5,Residency,PGY1,Pharmacy,,,Academic Health System,," USA Health stands as the only academic medical center along the Gulf Coast. It provides excellent healthcare to the region's diverse population at USA Health University Hospital and the renowned USA Health Children's & Women's Hospital, one of only five freestanding hospitals in the country dedicated to the healthcare of children and women. The PGY-1 Pharmacy residency provides thorough training in all aspects of pharmacy practice. The focus of the program is to develop a new practitioner into a well-rounded pharmacist in anticipation of entering the diverse pharmaceutical world. There are options to tailor electives to meet individual goals of practice growth or continued education in a PGY-2 program. Practice areas include general medicine, pediatrics, critical care, administration, burn, emergency medicine, trauma, and oncology. ",,,"ShaRhonda Watkins, PharmD, MBA, BCPS",USA Health University Hospital,1,"July 01, 2022","$45,000.00",2,,Southeast,,25,https://www.southalabama.edu/colleges/com/gme/pharmacy/index.html,,,"ShaRhonda Watkins, PharmD, MBA, BCPSUSA Health University Hospital2451 University Hospital DriveMobile, AL 366172514717388 (Phone)smwatkins@health.southalabama.edu","ShaRhonda Watkins, PharmD, MBA, BCPSUSA Health University Hospital2451 University Hospital DriveMobile, AL 366172514717388 (Phone)smwatkins@health.southalabama.edu",W-7983,"August 18, 2021"
6,Residency,PGY1,Pharmacy,,,Community Hospital,,"EAMC’s highest priority within the PGY-1 residency program is to build the expertise and skills of residents to develop them into knowledgeable and confident clinical pharmacists, who are prepared to successfully navigate the challenges of current and future pharmacy practice. EAMC’s residency program is designed to equip residents with the needed skills to function as vital members of multi-disciplinary health care teams. The program adheres to all ASHP standards and is conducted in a manner to provide residents with the opportunities and experiences to develop skills, competencies, and professional expertise in pharmacy practice.
Upon completion of the PGY-1 residency program, residents will be proficient in educating other health care professionals, patients, and the community on evidence-based medicine. ",,,"Darrell Childress PharmD, BCPS, BCIDP",East Alabama Medical Center,1,"June 26, 2023","$47,840.00",3,,Southeast,,20,https://www.eamc.org/careers-and-resources/pharmacy-residency/,,,"Darrell Childress PharmD, BCPS, BCIDPEast Alabama Medical Center2000 Pepperell PkwyOpelika, AL 36801334-528-5699 (Phone)darrell.childress@eamc.org","Darrell Childress PharmD, BCPS, BCIDPEast Alabama Medical Center2000 Pepperell PkwyOpelika, AL 36801334-528-5699 (Phone)darrell.childress@eamc.org",W-8025,"August 30, 2022"
7,Residency,PGY1,Pharmacy,,,Academic Health System,,"Baptist Medical Center South is a 515 bed regional referral center serving as the tertiary care center for central Alabama. The pharmacy model employs advanced technology and informatics while also providing decentralized clinical services in a variety of patient care areas. Residents participate in direct patient care activities, nutrition and pharmacokinetic consultations, MUEs, formulary management, project management, and education. We over a wide variety of rotations such as internal medicine, critical care, emergency medicine, infectious diseases, and more as well as opportunities to create specialty rotations based on the resident's interests. Our goal is to incorporate the individual's needs and interests into schedule design to provide for an exceptional experience and training.",,,Danna Nelson,Baptist Medical Center South,1,"June 27, 2022","$45,000.00",2,,Southeast,,12,https://www.baptistfirst.org/education/pharmacy-residency-program,,,"Danna NelsonBaptist Medical Center South2105 E. South BlvdMontgomery, AL 36116334-747-2331 (Phone)dsnelson@baptistfirst.org","Danna NelsonBaptist Medical Center South2105 E. South BlvdMontgomery, AL 36116334-747-2331 (Phone)dsnelson@baptistfirst.org",W-8040,"August 30, 2021"
8,Residency,PGY1,Pharmacy,,,Academic Health System,,"The PGY1 Pharmacy Residency Program at UAB Hospital is accredited by the American Society of Health-System Pharmacists (ASHP). It builds on Doctor of Pharmacy (PharmD) education and outcomes to contribute to the development of clinical pharmacists responsible for medication-related care of patients with a wide range of conditions, eligible for board certification, and eligible for postgraduate year two (PGY2) pharmacy residency training. This program provides a structured learning environment in which residents gain experience in all aspects of pharmacy practice, while allowing flexibility so that residents may pursue areas of interest.

The applicant must possess a PharmD degree from an ACPE-accredited college or school of pharmacy and be eligible for licensure in Alabama. All applications must be submitted through PhORCAS by January 1. ",,,Misty Gaddis,University of Alabama at Birmingham Hospital,1,"July 05, 2022","$50,000.00",1,4,Southeast,,,https://www.uabmedicine.org/web/careers/pharmacy/residency-programs,https://www.youtube.com/watch?v=hULXKiMEi0E,,"Misty GaddisUniversity of Alabama at Birmingham Hospital619 19th Street SouthBirmingham, AL 35294205-934-4093 (Phone)mgaddis@uabmc.edu","Misty GaddisUniversity of Alabama at Birmingham Hospital619 19th Street SouthBirmingham, AL 35294205-934-4093 (Phone)mgaddis@uabmc.edu",W-8088,"October 07, 2021"
9,Residency,PGY1,Pharmacy,,,Other,,"The PGY1 Pharmacy Practice Residency at Central Alabama VA Health Care System is an ASHP-accredited, 12-month postgraduate training program beginning in the first week of July. Three applicants are selected through the National Matching Service (NMS) to complete the program.
The program consists of seven required rotations and three elective rotations, each of five weeks duration. Additionally, the residents will be required to participate in four longitudinal rotations. Aside from the requirements of the practice experiences, residents are responsible for providing inpatient staffing every third weekend .",,,"Autumn Gordon, Pharm.D., BCPS, BCGP",Central Alabama VA Health Care System,1,"July 05, 2022","$49,000.00",3,,Southeast,,16,https://www.va.gov/central-alabama-health-care/work-with-us/jobs-and-careers/pharmacy-residency/,,,"Autumn Gordon, Pharm.D., BCPS, BCGPCentral Alabama VA Health Care System215 Perry Hill RdMontgomery, AL 36109334-549-8408 (Phone)Autumn.Gordon@va.gov","Autumn Gordon, Pharm.D., BCPS, BCGPCentral Alabama VA Health Care System215 Perry Hill RdMontgomery, AL 36109334-549-8408 (Phone)Autumn.Gordon@va.gov",W-8117,"October 19, 2021"
